State,District,Block/Tehsil,Village,No. of Surface lift Schemes according to the annual cost of maintenance - Upto Rs. 1000,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.1000 to 10000 ,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.10000 to 50000,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.50000 to 100000,No. of Surface lift Schemes according to the annual cost of maintenance - More than Rs. 100000
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,Gandhi Nagar,1,0,0,0,0
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,Sashtri Nagar,2,0,0,0,0
ANDAMAN & NICOBARS,NICOBAR,NANCOWRIE,Aloorang,1,0,0,0,0
ANDAMAN & NICOBARS,NICOBAR,NANCOWRIE,Japan Tkri,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Bandhan Nallah,2,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,D.B. Gram,2,5,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Durgapur,13,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Gandhi nagar,0,4,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Ganesh nagar,4,8,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Jagannath dera,9,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Kalighat,20,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Kalipur,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Keralapuram,1,3,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Kishorinagar,26,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Krishnapuri,1,7,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Kudhirampur,11,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Madhupur,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Madhyamgaram,9,2,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Mohanpur,5,5,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Nabagram,39,0,1,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Nischintapur,9,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Parangara,10,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Paschim Sagar,19,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Pilone Nallah,2,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,R.K.Gram,19,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Radha Nagar,16,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Ram Nagar,2,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Sagardeep,4,3,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Shanti Nagar,5,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Shibpur,21,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Shyam Nagar,28,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Sita Nagar,3,17,1,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Sri nagar,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Subashgram,15,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Swarajgram,37,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Talbagan,10,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,DIGLIPUR,Vidyasagar palli,4,2,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Basantipur,8,2,1,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Chainpur,3,6,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Danapur,2,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Dukenagar,15,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Govindpur,8,7,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Hanspuri,3,5,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Lataw,0,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Lauki Nallah (EFA),1,10,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Pahalgaon,0,7,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Pareshnagar,7,3,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Pokadera,0,3,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Prafullyanagar,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Rampur,5,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Santipur,3,5,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Swadesh Nagar,11,11,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Swarajgram,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Tugapur,1,27,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,MAYABUNDER,Webi,0,2,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Adojig,14,3,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Bakultala,8,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Bakultala (CT),3,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Bangaon,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Bejoygarh,10,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Bharatpur,5,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Dasratpur,0,3,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Dharmapur,0,2,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Janakpur,0,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Kadamtala,53,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Kalasi,6,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Kanchangarh,4,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Kausalyanagar,11,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Khatta Khari (EFA),3,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Laxmanpur,12,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Nayagarh,7,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Panchawati,1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Pawajig (FC),1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Rajatgarh,6,1,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Rajatgarh (EFA),6,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Sabari,8,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Saktigarh,6,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Santanu,9,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Shyamkund,7,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,"South Creek (FC, EFA & APWDC)",1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Sundergarh,10,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Thoraktang (FC),6,0,0,1,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Tikadera,0,2,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Udhaygarh,2,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Urmillapur,3,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Uttara,20,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Vishnupur,4,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Wrafers creek,2,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Wrafers Creek (EFA),1,0,0,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Yeratilijig,17,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Aniket,3,0,2,1,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Bambooflat (CT),3,0,1,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Brindaban,5,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Caddlegung,2,2,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Collinpur,6,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Dundaspoint,1,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Ferrargunj,6,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Herbertabad,10,1,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Hobdypur,17,1,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Kanyapuram,0,3,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Malappuram,4,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Manglutan,3,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Mannarghat,4,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Manpur,7,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Mathura,1,1,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Mile Tilak,8,1,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Namunagarh,10,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Shoal bay,0,1,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Shore Point,4,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Templemyo,3,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Tirur,1,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Tushnabad,3,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Wimberlygunj,1,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Wrightmyo,2,1,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,LITTLE ANDAMAN,Collinpur,1,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,LITTLE ANDAMAN,Netaji Nagar,25,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,LITTLE ANDAMAN,Ramakrishnapur,14,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,LITTLE ANDAMAN,Vivekanandapuram,6,0,0,0,0
ANDHRA PRADESH,Anantapur,Narpala,Gugudu,1,0,0,0,0
ANDHRA PRADESH,Anantapur,Uravakonda,Rayampalle,1,0,0,0,0
ANDHRA PRADESH,Chittoor,Baireddipalle,Alapalle,3,0,0,0,0
ANDHRA PRADESH,Chittoor,Bangarupalem,Thumba,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Bangarupalem,Thumba Kuppam,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Rompicherla,Bandakindapalle,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Biccavolu,Kapavaram,0,0,0,0,1
ANDHRA PRADESH,East Godavari,Biccavolu,Thummalapalle,0,1,1,0,0
ANDHRA PRADESH,East Godavari,Chintur,Agraharapu Koderu,6,2,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Chatti,10,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Chidumurum,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Chintur,12,0,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Chutur,1,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Dongala Jaggaram,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Guduru,0,4,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Kalleru,0,5,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Kannayagudem,0,2,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Katukapalle,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Kondapalle,0,2,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Kothapalle,0,4,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Kummuru,0,0,0,1,0
ANDHRA PRADESH,East Godavari,Chintur,Kuyuguru,7,2,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Lakkavaram,0,4,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Madugur,0,4,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Mallampeta,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Mallethota,6,2,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Markandeyula Peta,7,0,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Mothugudem,5,4,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Mukkunuru,1,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Narsingapeta,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Pega,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Sarivela,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Suddagudem,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Surakunta,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Thulasipakalu,1,5,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Tummala,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Ulumuru,7,1,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Vegithota,0,2,0,0,0
ANDHRA PRADESH,East Godavari,Chintur,Vinayakapuram,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Devipatnam,Nelakota,0,0,0,1,0
ANDHRA PRADESH,East Godavari,Gokavaram,Gadelapalem,0,2,0,0,0
ANDHRA PRADESH,East Godavari,Kadiam,Vemagiri,0,0,0,0,1
ANDHRA PRADESH,East Godavari,Kajuluru,Kolanka,0,0,1,0,0
ANDHRA PRADESH,East Godavari,Kajuluru,Uppumilli,0,0,1,0,0
ANDHRA PRADESH,East Godavari,Karapa,Gorripudi,0,0,0,0,1
ANDHRA PRADESH,East Godavari,Karapa,Gurajanapalle,0,2,0,0,0
ANDHRA PRADESH,East Godavari,Karapa,Kongodu,0,0,0,0,2
ANDHRA PRADESH,East Godavari,Karapa,Velangi,0,5,3,1,0
ANDHRA PRADESH,East Godavari,Karapa,Vemulavada,0,1,0,1,0
ANDHRA PRADESH,East Godavari,Karapa,Yandamuru,0,0,2,0,1
ANDHRA PRADESH,East Godavari,Kunavaram,Bojjaraigudem,1,1,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Chinnarukur,0,5,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Chuchirevula,0,3,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Dugutta,0,4,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Gommugudem,0,5,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Harvegudem,0,2,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Jaggavaram,0,27,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Kachavaram,1,18,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Koderu,0,6,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Kondarajupeta,0,6,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Kudalipadu,0,8,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Kumaraswamigudem,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Kunavaram,0,20,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Kuturu,0,5,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Laxmipuram,0,9,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Lellavai,0,12,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Lingapuram,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Marrigudem,0,6,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Narasingapeta,0,4,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Palluru,0,5,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Pedda Polipaka,0,6,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Pochavaram,0,3,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,S.Kothagudem,0,18,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Tallagudem,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Kunavaram,Walfordpeta,0,2,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Buttaigudem,1,1,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Chinthalagudem,4,1,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Chowdavaram,6,8,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Devarapalle,5,8,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Gannavaram,6,0,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Gommu Koyagudem,2,1,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Kannaigudem,1,0,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Kapugampalle,13,7,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Kistaram,8,0,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Kusumanapalle,2,0,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Midfordpeta,1,0,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Murumoor,16,2,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Nandigama,14,0,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Nellipaka,4,5,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Pinapalle,1,1,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Rachagampalle,4,0,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Thallagudem,5,0,0,0,0
ANDHRA PRADESH,East Godavari,Nellipaka,Yetapaka,7,1,0,0,0
ANDHRA PRADESH,East Godavari,Pedapudi,Atchutapuratrayam,0,0,1,0,0
ANDHRA PRADESH,East Godavari,Pedapudi,Domada,0,0,0,0,1
ANDHRA PRADESH,East Godavari,Rajahmundry (Urban),Rajahmundry (M Corp),0,0,1,0,0
ANDHRA PRADESH,East Godavari,Rajahmundry Rural,Katheru (CT),0,0,1,0,0
ANDHRA PRADESH,East Godavari,Rajavommangi,Jaddangi,0,15,0,0,0
ANDHRA PRADESH,East Godavari,Rajavommangi,Kindra,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Rajavommangi,Kirrabu,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Rajavommangi,Singampalle,0,3,0,0,0
ANDHRA PRADESH,East Godavari,Rajavommangi,Thantikonda,0,4,0,0,0
ANDHRA PRADESH,East Godavari,Samalkota,G. Medapadu,0,0,1,0,0
ANDHRA PRADESH,East Godavari,Samalkota,Pedabrahmadevam,0,0,1,0,0
ANDHRA PRADESH,East Godavari,Samalkota,Vetlapalem,0,0,0,1,0
ANDHRA PRADESH,East Godavari,Thallarevu,Koringa,0,0,1,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Chintharajupalle,0,2,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Chokkanapalle,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Gundugudem,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Isunuru,0,9,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Koppalle,0,5,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Kothagudem,1,0,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Narayanapuram,0,3,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Rajupeta,0,4,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Ramavaram,0,6,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Ravigudem,0,5,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Seethampeta,0,2,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Somulagudem,0,3,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Sriramgiri,0,2,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Thotapalle,0,3,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Venkannagudem,0,5,0,0,0
ANDHRA PRADESH,East Godavari,Vararamachandrapuram,Waddegudem,0,3,0,0,0
ANDHRA PRADESH,East Godavari,Y. Ramavaram,Chinthakarrapalem,1,0,0,0,0
ANDHRA PRADESH,East Godavari,Y. Ramavaram,Devaramadugula,2,0,0,0,0
ANDHRA PRADESH,East Godavari,Y. Ramavaram,Kota,1,0,0,0,0
ANDHRA PRADESH,Guntur,Amaravathi,Attalur,0,1,0,0,0
ANDHRA PRADESH,Guntur,Amaravathi,Dharanikota,6,2,0,0,0
ANDHRA PRADESH,Guntur,Amaravathi,Didugu,0,1,0,0,0
ANDHRA PRADESH,Guntur,Amaravathi,Munugodu,26,0,0,0,0
ANDHRA PRADESH,Guntur,Amaravathi,Nemalikallu,0,1,0,0,0
ANDHRA PRADESH,Guntur,Amaravathi,Pedda Madduru,0,1,0,0,0
ANDHRA PRADESH,Guntur,Amaravathi,Pondugala,0,2,0,0,0
ANDHRA PRADESH,Guntur,Amaravathi,Puttipadu,0,1,0,0,0
ANDHRA PRADESH,Guntur,Atchampet,Ambadipudi,0,1,0,0,0
ANDHRA PRADESH,Guntur,Atchampet,Challagariga,5,0,0,0,0
ANDHRA PRADESH,Guntur,Atchampet,Chigurupadu,0,5,0,0,0
ANDHRA PRADESH,Guntur,Atchampet,Chintapalle,0,1,0,0,0
ANDHRA PRADESH,Guntur,Atchampet,Ginjupalle,10,0,0,0,0
ANDHRA PRADESH,Guntur,Atchampet,Kastala Agraharam,0,1,0,0,0
ANDHRA PRADESH,Guntur,Atchampet,Konuru,1,1,0,0,0
ANDHRA PRADESH,Guntur,Atchampet,Madipadu Agraharam,2,1,0,0,0
ANDHRA PRADESH,Guntur,Atchampet,Madipadu Seri,4,0,0,0,0
ANDHRA PRADESH,Guntur,Atchampet,Taduvoy,3,0,0,0,0
ANDHRA PRADESH,Guntur,Bapatla,Adivi,1,0,0,0,0
ANDHRA PRADESH,Guntur,Bapatla,Bapatla East (R),0,0,1,0,0
ANDHRA PRADESH,Guntur,Bapatla,Gudipudi,0,0,1,0,0
ANDHRA PRADESH,Guntur,Bapatla,Jammulapalem,0,1,0,0,0
ANDHRA PRADESH,Guntur,Bapatla,Kankatapalem,0,1,0,0,0
ANDHRA PRADESH,Guntur,Bapatla,Maruproluvaripalem (R),1,0,0,0,0
ANDHRA PRADESH,Guntur,Bapatla,Mulapalem,0,0,1,0,0
ANDHRA PRADESH,Guntur,Bapatla,Narasayapalem,0,0,1,0,0
ANDHRA PRADESH,Guntur,Bellamkonda,Emmajigudem,1,13,1,0,0
ANDHRA PRADESH,Guntur,Bellamkonda,Machayapalem,2,13,0,0,0
ANDHRA PRADESH,Guntur,Bellamkonda,Mannesultanpalem,0,18,0,0,0
ANDHRA PRADESH,Guntur,Bellamkonda,Papayapalem,4,20,0,0,0
ANDHRA PRADESH,Guntur,Bellamkonda,Venkatayapalem,0,26,0,0,0
ANDHRA PRADESH,Guntur,Bhattiprolu,Addepalli,0,163,0,0,0
ANDHRA PRADESH,Guntur,Bhattiprolu,Pallekona,0,31,0,0,0
ANDHRA PRADESH,Guntur,Bollapalle,Gutlapalle,1,0,0,0,0
ANDHRA PRADESH,Guntur,Bollapalle,Kanumalacheruvu,1,27,0,0,0
ANDHRA PRADESH,Guntur,Chebrolu,Pathareddipalem,0,1,0,0,0
ANDHRA PRADESH,Guntur,Chebrolu,Sekuru,0,2,0,0,0
ANDHRA PRADESH,Guntur,Cherukupalle H/O Arumb,Arepalle,0,10,0,0,0
ANDHRA PRADESH,Guntur,Cherukupalle H/O Arumb,Arumbaka,0,2,0,0,0
