Model,R2_Score,Accuracy_Percentage,MAE,RMSE,Selected_Features_Count
ALOA + Random Forest,0.9918263323354742,99.18263323354742,1143.7228351886854,59318.90485057847,5
ALOA + Deep Learning,0.9992964358247866,99.92964358247866,7049.10061386888,17403.49590500858,5
