Model,R2_Score,Accuracy_Percentage,MAE,RMSE,Selected_Features_Count
BA + Random Forest,0.992012879787769,99.2012879787769,966.269473681684,58638.080735981384,5
BA + Deep Learning,0.999918261530597,99.9918261530597,2643.1629341385405,5931.955537763207,5
