Model,R2_Score,Accuracy_Percentage,MAE,RMSE,Selected_Features_Count
PSO + Random Forest,0.9941136985925031,99.41136985925031,882.9274371502717,50339.15078845672,5
PSO + Deep Learning,0.9987619972347707,99.87619972347707,4989.08302599822,23085.827381639636,5
