Model,R2_Score,Accuracy_Percentage,MAE,RMSE,Selected_Features_Count
AIS + Random Forest,0.9919230002109948,99.19230002109948,1165.1277211712504,58967.086788251545,5
AIS + Deep Learning,0.9998143191920931,99.98143191920931,2005.7438743346584,8940.630469879678,5
