Model,R2_Score,Accuracy_Percentage,MAE,RMSE,Selected_Features_Count
SSA + Random Forest,0.9944106846911313,99.44106846911312,934.563510188593,49052.815715455385,7
SSA + Deep Learning,0.9980282814027603,99.80282814027603,4908.452389984371,29134.46872384802,7
