Model,R2_Score,Accuracy_Percentage,MAE,RMSE,Selected_Features_Count
QPSO + Random Forest,0.9933829886948137,99.33829886948136,970.7581315314893,53372.2577831632,7
QPSO + Deep Learning,0.9998788783627461,99.98788783627461,2691.2633372215523,7220.969373504229,7
