Model,R2_Score,Accuracy_Percentage,MAE,RMSE,Selected_Features_Count
FA + Random Forest,0.9942700113852413,99.42700113852413,926.4993015689961,49666.26668483776,7
FA + Deep Learning,0.9997150556064616,99.97150556064615,3138.0387733116095,11075.534514901436,7
