Model,R2_Score,Accuracy_Percentage,MAE,RMSE,Selected_Features_Count
GA + Random Forest,0.9930121143468911,99.30121143468911,2473.609067248541,54847.58773472509,3
GA + Deep Learning,0.9994414948163575,99.94414948163575,8370.046435502269,15505.945057092833,3
