Model,R2_Score,Accuracy_Percentage,MAE,RMSE
Random Forest,0.9882024668780758,98.82024668780758,1476.1093108414875,71265.64814406444
Gradient Boosting,0.996064566648388,99.6064566648388,2351.9904676920873,41160.52613962382
Deep Learning,0.9999752443217451,99.99752443217452,1433.514075965775,3264.5404293451825
