Model,R2_Score,Accuracy_Percentage,MAE,RMSE,Selected_Features_Count
CSA + Random Forest,0.9927875900589562,99.27875900589562,1059.7042348705334,55721.76165716231,4
CSA + Deep Learning,0.9999720816976342,99.99720816976343,1713.8022269923545,3466.80280994445,4
